username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
aaa9rnpre89bf2i0tx7ihyem0,5ZFPamZxUhmxFuH1gNuEne,ON - Piano Arrangement,Shin Giwon Piano,False,0,0.624,0.27,-16.508,0.0359,0.986,0.857,0.109,0.336,105.993
aaa9rnpre89bf2i0tx7ihyem0,0K0gAibng8wSMjWrgrjVqh,YES or YES,DooPiano,False,0,0.642,0.223,-16.916,0.041,0.984,0.914,0.153,0.203,136.006
aaa9rnpre89bf2i0tx7ihyem0,74yAd9bPsdBEMMJpTshKqL,You Were Beautiful,Shin Giwon Piano,False,0,0.696,0.417,-13.384,0.046,0.992,0.925,0.105,0.0742,84.006
aaa9rnpre89bf2i0tx7ihyem0,747mUvIzhtxNmsnvMLTrpD,BBIBBI,Shin Giwon Piano,False,0,0.638,0.333,-14.561,0.0545,0.988,0.908,0.132,0.683,144.039
aaa9rnpre89bf2i0tx7ihyem0,3mYZNheV8ogitaLxjdJmm7,Black Mamba,DooPiano,False,16,0.466,0.256,-16.387,0.036,0.982,0.839,0.0883,0.188,81.327
aaa9rnpre89bf2i0tx7ihyem0,7BVI8rAPOBjCxSBPrVYrZa,MORE & MORE,DooPiano,False,0,0.321,0.224,-18.354,0.0397,0.985,0.854,0.0657,0.241,99.877
aaa9rnpre89bf2i0tx7ihyem0,5AkyoBBeNWOZ8BVroTfThL,Hope Not,Shin Giwon Piano,False,0,0.73,0.271,-15.864,0.0458,0.989,0.926,0.166,0.151,110.023
aaa9rnpre89bf2i0tx7ihyem0,3KnLrrwDrnnzVoQSJLx0Ug,Russian Roulette,DooPiano,False,0,0.669,0.287,-16.435,0.0601,0.98,0.896,0.0939,0.497,127.723
aaa9rnpre89bf2i0tx7ihyem0,16pNLEsd5ntwEiXcK3qOwK,Cheer Up,DooPiano,False,0,0.457,0.256,-17.938,0.0424,0.978,0.868,0.115,0.169,82.035
aaa9rnpre89bf2i0tx7ihyem0,3n6G3p2Dceqqu8LFWMVm7Z,Given-Taken,Shin Giwon Piano,False,19,0.584,0.25,-16.884,0.0406,0.99,0.948,0.153,0.419,161.992
aaa9rnpre89bf2i0tx7ihyem0,6E24uYuq8b4tzEbvfJDvdm,Oh my god - Piano Arrangement,Shin Giwon Piano,False,0,0.702,0.254,-18.651,0.0671,0.988,0.917,0.113,0.476,109.993
aaa9rnpre89bf2i0tx7ihyem0,6YwywnqXb3B0MiarHEdbeC,Blue Hour,Shin Giwon Piano,False,21,0.657,0.308,-17.408,0.0433,0.982,0.898,0.158,0.493,112.019
aaa9rnpre89bf2i0tx7ihyem0,7BTbw8YEW6moAU59bVdkHL,DUN DUN - Piano Arrangement,Shin Giwon Piano,False,0,0.654,0.273,-15.798,0.0428,0.989,0.905,0.133,0.72,103.001
aaa9rnpre89bf2i0tx7ihyem0,2xCHm9bo2LGgwhhrso4qEG,The Best Thing I Ever Did,DooPiano,False,0,0.532,0.222,-18.677,0.0408,0.985,0.898,0.114,0.116,102.322
